variant_id,model_year,region,body_style,trim_level,drivetrain,wheelbase_mm,curb_mass_kg,drag_coefficient,frontal_area_m2,max_payload_kg,tow_rating_kg,homologation_code,active_aero,certification_market,test_cycle,procedure_standard,gcwr_kg,braked_trailer_rating_kg,unbraked_trailer_rating_kg
OAM-V0288,2024,UK,pickup,Base,4WD,3333,2564,0.354,3.49,947,5744,UK-2024-8848,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,9429,5744,750
OAM-V0289,2025,NA,pickup,Fleet,AWD,3580,2467,0.375,3.60,1132,4979,NA-2025-7579,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,8738,4979,750
OAM-V0290,2026,JP,liftback,Performance,AWD,2783,1788,0.261,2.17,508,373,JP-2026-6971,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,2801,373,373
OAM-V0291,2027,LATAM,crossover,Executive,4WD,3020,1907,0.290,2.78,582,1895,LATAM-2027-9462,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4610,1895,750
OAM-V0292,2024,UK,suv,Fleet,4WD,2956,2533,0.367,2.97,735,1982,UK-2024-5801,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,5489,1982,750
OAM-V0293,2025,EU,liftback,Touring,RWD,2732,1747,0.291,2.25,464,665,EU-2025-5271,false,European Union,WLTP,UNECE R154,3091,665,665
OAM-V0294,2026,LATAM,pickup,Fleet,4WD,3431,2348,0.349,3.32,989,3497,LATAM-2026-9330,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,7012,3497,750
OAM-V0295,2027,LATAM,suv,Fleet,4WD,3205,2418,0.274,2.72,578,2971,LATAM-2027-2366,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,6168,2971,750
OAM-V0296,2024,NA,pickup,Executive,RWD,3584,2840,0.401,3.50,1115,3494,NA-2024-8918,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,7607,3494,750
OAM-V0297,2025,KR,crossover,Performance,AWD,2804,2173,0.254,2.64,538,1698,KR-2025-8365,false,Korea,WLTC-KR,KATRI/WLTC,4656,1698,750
OAM-V0298,2026,KR,wagon,Premium,FWD,2995,1824,0.261,2.39,539,1244,KR-2026-3773,true,Korea,WLTC-KR,KATRI/WLTC,3844,1244,750
OAM-V0299,2027,NA,van,Premium,4WD,3566,2565,0.357,3.55,1189,1924,NA-2027-8572,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,5793,1924,750
OAM-V0300,2024,KR,van,Touring,FWD,3680,2721,0.370,3.38,1399,2896,KR-2024-9815,false,Korea,WLTC-KR,KATRI/WLTC,7168,2896,750
OAM-V0301,2025,GCC,van,Premium,AWD,3807,2609,0.368,3.82,1576,3063,GCC-2025-9336,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,7427,3063,750
OAM-V0302,2026,UK,crossover,Premium,RWD,3129,2237,0.304,2.80,638,1370,UK-2026-8560,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4385,1370,750
OAM-V0303,2027,GCC,crossover,Executive,AWD,3103,2516,0.294,2.56,460,2051,GCC-2027-5168,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,5235,2051,750
OAM-V0304,2024,JP,wagon,Sport,AWD,2790,1884,0.291,2.53,488,1945,JP-2024-1031,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,4501,1945,750
OAM-V0305,2025,GCC,sedan,Premium,FWD,2835,1834,0.219,2.23,556,78,GCC-2025-5224,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,2654,78,78
OAM-V0306,2026,EU,liftback,Base,RWD,2765,1810,0.253,2.16,505,1064,EU-2026-3339,true,European Union,WLTP,UNECE R154,3584,1064,750
OAM-V0307,2027,UK,suv,Sport,AWD,3012,2286,0.345,2.83,709,2158,UK-2027-5474,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,5254,2158,750
OAM-V0308,2024,GCC,suv,Performance,4WD,3109,2193,0.351,3.03,704,2522,GCC-2024-2420,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,5653,2522,750
OAM-V0309,2025,LATAM,pickup,Premium,4WD,3316,3329,0.384,3.11,1083,4811,LATAM-2025-7356,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,9394,4811,750
OAM-V0310,2026,GCC,van,Touring,4WD,3748,3056,0.297,3.29,1521,3459,GCC-2026-4590,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,8258,3459,750
OAM-V0311,2027,LATAM,wagon,Sport,4WD,2967,1876,0.256,2.35,511,1394,LATAM-2027-4572,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4031,1394,750
OAM-V0312,2024,GCC,wagon,Premium,AWD,3043,1877,0.279,2.53,528,1743,GCC-2024-7129,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,4273,1743,750
OAM-V0313,2025,NA,pickup,Executive,AWD,3511,3288,0.406,3.28,733,5587,NA-2025-5059,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,9778,5587,750
OAM-V0314,2026,LATAM,pickup,Fleet,RWD,3337,2624,0.360,3.38,811,4149,LATAM-2026-2072,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,7782,4149,750
OAM-V0315,2027,JP,sedan,Executive,RWD,2937,1713,0.224,2.24,440,476,JP-2027-2173,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,2807,476,476
OAM-V0316,2024,AU,wagon,Performance,AWD,2963,2071,0.227,2.51,450,1422,AU-2024-2892,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4157,1422,750
OAM-V0317,2025,LATAM,van,Fleet,FWD,3784,2439,0.373,4.10,889,2709,LATAM-2025-5635,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,6146,2709,750
OAM-V0318,2026,EU,liftback,Base,AWD,2853,1597,0.223,2.29,456,1767,EU-2026-4831,false,European Union,WLTP,UNECE R154,4063,1767,750
OAM-V0319,2027,KR,van,Executive,4WD,3632,3265,0.341,3.82,1046,2097,KR-2027-4466,false,Korea,WLTC-KR,KATRI/WLTC,6643,2097,750
OAM-V0320,2024,UK,wagon,Performance,AWD,2832,2166,0.299,2.38,459,1508,UK-2024-6051,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4363,1508,750
OAM-V0321,2025,LATAM,crossover,Performance,4WD,2798,2035,0.297,2.63,620,1029,LATAM-2025-5194,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,3914,1029,750
OAM-V0322,2026,UK,van,Fleet,RWD,4231,3024,0.337,4.08,1450,2631,UK-2026-3610,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,7346,2631,750
OAM-V0323,2027,KR,wagon,Touring,AWD,3099,2058,0.285,2.46,586,1813,KR-2027-2834,false,Korea,WLTC-KR,KATRI/WLTC,4671,1813,750
OAM-V0324,2024,KR,suv,Base,RWD,2884,2084,0.314,2.65,784,3347,KR-2024-6621,false,Korea,WLTC-KR,KATRI/WLTC,6332,3347,750
OAM-V0325,2025,UK,liftback,Executive,4WD,3016,1732,0.278,2.33,544,0,UK-2025-7811,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,2380,0,0
OAM-V0326,2026,JP,crossover,Sport,RWD,3085,2304,0.310,2.51,512,1629,JP-2026-7868,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,4636,1629,750
OAM-V0327,2027,NA,suv,Sport,AWD,3003,2068,0.336,2.78,777,2875,NA-2027-6490,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,5920,2875,750
OAM-V0328,2024,EU,crossover,Premium,FWD,2962,2141,0.301,2.78,629,2158,EU-2024-3812,true,European Union,WLTP,UNECE R154,5131,2158,750
OAM-V0329,2025,JP,pickup,Base,4WD,3441,2864,0.371,3.22,693,4285,JP-2025-8157,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,8043,4285,750
OAM-V0330,2026,NA,van,Base,FWD,4287,3190,0.371,3.22,923,2722,NA-2026-9830,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,6954,2722,750
OAM-V0331,2027,UK,pickup,Base,4WD,3535,3092,0.322,3.40,726,5008,UK-2027-5469,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,8932,5008,750
OAM-V0332,2024,KR,crossover,Base,4WD,3046,2084,0.288,2.76,614,1834,KR-2024-5366,false,Korea,WLTC-KR,KATRI/WLTC,4754,1834,750
OAM-V0333,2025,LATAM,wagon,Premium,AWD,2812,1755,0.311,2.47,578,2185,LATAM-2025-2280,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4710,2185,750
OAM-V0334,2026,GCC,suv,Performance,AWD,2854,2192,0.255,2.75,560,2022,GCC-2026-8014,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,5004,2022,750
OAM-V0335,2027,EU,sedan,Sport,RWD,2931,1739,0.244,2.33,504,1047,EU-2027-4201,false,European Union,WLTP,UNECE R154,3423,1047,750
OAM-V0336,2024,AU,pickup,Performance,4WD,3472,2781,0.373,3.01,800,3827,AU-2024-2452,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,7574,3827,750
OAM-V0337,2025,AU,wagon,Sport,4WD,2992,1724,0.251,2.48,474,1465,AU-2025-8461,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,3883,1465,750
OAM-V0338,2026,AU,wagon,Premium,RWD,2832,1974,0.271,2.44,600,1839,AU-2026-4762,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4577,1839,750
OAM-V0339,2027,LATAM,wagon,Performance,AWD,2781,2275,0.236,2.45,529,1175,LATAM-2027-6772,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4192,1175,750
OAM-V0340,2024,GCC,liftback,Fleet,FWD,2906,1545,0.283,2.25,460,127,GCC-2024-6070,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,2350,127,127
OAM-V0341,2025,EU,crossover,Performance,4WD,2829,2329,0.319,2.59,698,1423,EU-2025-2538,false,European Union,WLTP,UNECE R154,4566,1423,750
OAM-V0342,2026,NA,pickup,Base,4WD,3323,3019,0.398,3.36,1052,5229,NA-2026-9141,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,9457,5229,750
OAM-V0343,2027,EU,van,Executive,AWD,4096,3318,0.325,3.22,1317,2077,EU-2027-1140,true,European Union,WLTP,UNECE R154,6903,2077,750
OAM-V0344,2024,AU,pickup,Base,4WD,3480,2348,0.392,3.53,801,4895,AU-2024-9011,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,8280,4895,750
OAM-V0345,2025,KR,liftback,Executive,4WD,2964,2127,0.225,2.23,486,114,KR-2025-5921,true,Korea,WLTC-KR,KATRI/WLTC,2835,114,114
OAM-V0346,2026,KR,liftback,Executive,AWD,2724,2070,0.232,2.40,479,1320,KR-2026-9123,false,Korea,WLTC-KR,KATRI/WLTC,4112,1320,750
OAM-V0347,2027,KR,crossover,Touring,4WD,2896,2119,0.295,2.64,490,2063,KR-2027-7625,true,Korea,WLTC-KR,KATRI/WLTC,4896,2063,750
OAM-V0348,2024,KR,crossover,Fleet,RWD,3101,1974,0.301,2.84,502,1555,KR-2024-6522,false,Korea,WLTC-KR,KATRI/WLTC,4134,1555,750
OAM-V0349,2025,JP,suv,Premium,AWD,3158,2704,0.332,2.80,654,3743,JP-2025-6917,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,7304,3743,750
OAM-V0350,2026,AU,wagon,Performance,4WD,2930,2152,0.247,2.53,649,1514,AU-2026-5246,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4563,1514,750
OAM-V0351,2027,EU,pickup,Fleet,4WD,3320,3064,0.437,3.49,1138,4174,EU-2027-6329,false,European Union,WLTP,UNECE R154,8478,4174,750
OAM-V0352,2024,EU,liftback,Sport,4WD,2941,2007,0.245,2.17,467,1375,EU-2024-9154,false,European Union,WLTP,UNECE R154,4070,1375,750
OAM-V0353,2025,KR,suv,Performance,AWD,2926,2302,0.287,2.95,608,2461,KR-2025-1961,false,Korea,WLTC-KR,KATRI/WLTC,5565,2461,750
OAM-V0354,2026,JP,liftback,Touring,4WD,2929,1619,0.270,2.34,564,261,JP-2026-5763,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,2568,261,261
OAM-V0355,2027,JP,liftback,Premium,4WD,2772,1890,0.237,2.31,420,291,JP-2027-1153,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,2785,291,291
OAM-V0356,2024,KR,van,Executive,4WD,3873,2973,0.337,3.41,998,3866,KR-2024-8797,true,Korea,WLTC-KR,KATRI/WLTC,8042,3866,750
OAM-V0357,2025,LATAM,sedan,Sport,4WD,2756,1725,0.253,2.39,522,792,LATAM-2025-6240,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,3145,792,750
OAM-V0358,2026,AU,suv,Fleet,4WD,2965,2756,0.290,2.78,642,3522,AU-2026-4213,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,7122,3522,750
OAM-V0359,2027,JP,suv,Performance,RWD,2863,2252,0.323,2.87,790,1640,JP-2027-4384,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,4788,1640,750
OAM-V0360,2024,KR,wagon,Premium,AWD,2881,2100,0.285,2.39,469,2005,KR-2024-2403,false,Korea,WLTC-KR,KATRI/WLTC,4766,2005,750
OAM-V0361,2025,KR,suv,Touring,AWD,2924,2434,0.287,2.93,665,2760,KR-2025-4481,true,Korea,WLTC-KR,KATRI/WLTC,6054,2760,750
OAM-V0362,2026,JP,van,Premium,RWD,3638,2525,0.372,3.49,1462,2286,JP-2026-8740,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,6411,2286,750
OAM-V0363,2027,LATAM,suv,Sport,AWD,3173,2640,0.359,2.90,564,2733,LATAM-2027-4287,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,6117,2733,750
OAM-V0364,2024,AU,pickup,Touring,4WD,3233,3019,0.362,3.33,916,4425,AU-2024-1685,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,8469,4425,750
OAM-V0365,2025,EU,crossover,Fleet,RWD,3136,1995,0.329,2.53,484,1681,EU-2025-5147,false,European Union,WLTP,UNECE R154,4274,1681,750
OAM-V0366,2026,LATAM,liftback,Performance,FWD,2844,1852,0.232,2.32,463,0,LATAM-2026-5958,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,2533,0,0
OAM-V0367,2027,LATAM,crossover,Touring,FWD,2756,1849,0.268,2.80,632,2247,LATAM-2027-1108,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4866,2247,750
OAM-V0368,2024,UK,wagon,Base,4WD,3088,1957,0.297,2.29,580,1472,UK-2024-7919,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4205,1472,750
OAM-V0369,2025,UK,van,Premium,FWD,3786,3020,0.351,3.81,1454,2924,UK-2025-8598,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,7558,2924,750
OAM-V0370,2026,NA,crossover,Touring,AWD,2937,2158,0.306,2.77,542,2501,NA-2026-4925,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,5350,2501,750
OAM-V0371,2027,LATAM,suv,Base,FWD,2993,2330,0.318,2.96,720,2337,LATAM-2027-4889,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,5519,2337,750
OAM-V0372,2024,UK,suv,Sport,FWD,3217,2460,0.326,2.70,754,2280,UK-2024-9158,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,5741,2280,750
OAM-V0373,2025,EU,van,Premium,RWD,3907,2912,0.365,3.75,1478,2605,EU-2025-3902,false,European Union,WLTP,UNECE R154,7110,2605,750
OAM-V0374,2026,GCC,liftback,Performance,4WD,2780,1612,0.247,2.15,570,1029,GCC-2026-4346,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,3331,1029,750
OAM-V0375,2027,AU,liftback,Performance,RWD,2968,1698,0.210,2.44,452,0,AU-2027-7003,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,2332,0,0
OAM-V0376,2024,EU,wagon,Touring,FWD,2797,1724,0.218,2.50,616,1258,EU-2024-2742,true,European Union,WLTP,UNECE R154,3793,1258,750
OAM-V0377,2025,GCC,pickup,Base,RWD,3447,2763,0.361,3.02,719,3548,GCC-2025-1044,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,7155,3548,750
OAM-V0378,2026,NA,van,Performance,4WD,3810,3474,0.329,3.87,1564,3294,NA-2026-6887,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,8486,3294,750
OAM-V0379,2027,UK,pickup,Premium,RWD,3398,2425,0.399,3.11,763,4661,UK-2027-1270,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,8010,4661,750
OAM-V0380,2024,LATAM,pickup,Base,RWD,3672,2917,0.384,3.15,733,5200,LATAM-2024-1100,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,8959,5200,750
OAM-V0381,2025,LATAM,wagon,Sport,FWD,2961,1572,0.270,2.29,460,1731,LATAM-2025-4448,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4010,1731,750
OAM-V0382,2026,JP,pickup,Base,RWD,3588,3085,0.403,3.28,1134,4558,JP-2026-5054,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,9024,4558,750
OAM-V0383,2027,LATAM,sedan,Premium,FWD,2855,1566,0.249,2.29,516,1142,LATAM-2027-2893,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,3423,1142,750
OAM-V0384,2024,GCC,wagon,Sport,RWD,2868,1766,0.258,2.53,645,1609,GCC-2024-2874,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,4205,1609,750
OAM-V0385,2025,LATAM,crossover,Premium,AWD,2827,2345,0.306,2.71,485,2267,LATAM-2025-4936,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,5302,2267,750
OAM-V0386,2026,LATAM,sedan,Touring,4WD,2721,1890,0.228,2.24,527,815,LATAM-2026-5816,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,3473,815,750
OAM-V0387,2027,AU,crossover,Performance,4WD,3065,1885,0.331,2.50,464,1223,AU-2027-7201,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,3755,1223,750
OAM-V0388,2024,NA,sedan,Base,RWD,2917,1457,0.263,2.32,501,837,NA-2024-6433,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,2935,837,750
OAM-V0389,2025,GCC,sedan,Fleet,RWD,2707,1894,0.254,2.30,424,1226,GCC-2025-2495,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,3653,1226,750
OAM-V0390,2026,JP,crossover,Sport,RWD,3016,1701,0.277,2.56,605,2405,JP-2026-2546,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,4864,2405,750
OAM-V0391,2027,JP,van,Fleet,AWD,3880,3615,0.394,3.37,1584,2914,JP-2027-4755,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,8340,2914,750
OAM-V0392,2024,LATAM,crossover,Sport,FWD,3084,2214,0.312,2.58,477,1589,LATAM-2024-7344,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4492,1589,750
OAM-V0393,2025,NA,suv,Performance,RWD,3076,2777,0.288,2.95,627,1623,NA-2025-3512,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,5251,1623,750
OAM-V0394,2026,GCC,suv,Premium,FWD,3112,2117,0.288,2.67,576,2430,GCC-2026-4893,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,5334,2430,750
OAM-V0395,2027,NA,sedan,Fleet,FWD,2830,1693,0.221,2.24,527,770,NA-2027-4473,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,3220,770,750
OAM-V0396,2024,UK,pickup,Base,4WD,3204,2922,0.402,3.51,711,3552,UK-2024-1532,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,7399,3552,750
OAM-V0397,2025,KR,van,Performance,FWD,3759,3003,0.280,3.67,1291,2302,KR-2025-6820,true,Korea,WLTC-KR,KATRI/WLTC,6726,2302,750
OAM-V0398,2026,NA,crossover,Performance,RWD,2858,1800,0.261,2.47,638,1070,NA-2026-1826,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,3723,1070,750
OAM-V0399,2027,AU,wagon,Performance,FWD,3081,1724,0.267,2.39,455,1182,AU-2027-9828,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,3566,1182,750
OAM-V0400,2024,EU,crossover,Executive,RWD,2933,2221,0.255,2.62,548,1730,EU-2024-3662,true,European Union,WLTP,UNECE R154,4733,1730,750
OAM-V0401,2025,LATAM,crossover,Performance,AWD,3035,2518,0.329,2.79,529,1185,LATAM-2025-7707,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4435,1185,750
OAM-V0402,2026,KR,crossover,Premium,FWD,2906,2319,0.332,2.59,502,1369,KR-2026-4408,false,Korea,WLTC-KR,KATRI/WLTC,4351,1369,750
OAM-V0403,2027,JP,liftback,Touring,4WD,3009,2066,0.277,2.41,549,1525,JP-2027-8578,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,4340,1525,750
OAM-V0404,2024,UK,liftback,Sport,4WD,2864,1893,0.252,2.17,466,0,UK-2024-4723,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,2597,0,0
OAM-V0405,2025,EU,crossover,Touring,FWD,2804,2201,0.275,2.83,569,2142,EU-2025-7926,false,European Union,WLTP,UNECE R154,5086,2142,750
OAM-V0406,2026,NA,van,Base,AWD,4109,3186,0.399,3.25,1391,2150,NA-2026-1985,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,6850,2150,750
OAM-V0407,2027,NA,crossover,Premium,4WD,3043,2096,0.267,2.72,657,1517,NA-2027-6885,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,4424,1517,750
OAM-V0408,2024,EU,wagon,Sport,4WD,3032,1759,0.305,2.48,630,1681,EU-2024-7714,false,European Union,WLTP,UNECE R154,4186,1681,750
OAM-V0409,2025,LATAM,liftback,Sport,FWD,2754,1963,0.277,2.26,540,0,LATAM-2025-3744,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,2635,0,0
OAM-V0410,2026,NA,wagon,Executive,AWD,3067,1801,0.268,2.30,600,1584,NA-2026-5539,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,4213,1584,750
OAM-V0411,2027,KR,pickup,Executive,AWD,3462,3285,0.382,3.26,912,3259,KR-2027-5017,false,Korea,WLTC-KR,KATRI/WLTC,7702,3259,750
OAM-V0412,2024,EU,liftback,Fleet,RWD,2785,1601,0.231,2.26,564,932,EU-2024-6908,true,European Union,WLTP,UNECE R154,3234,932,750
OAM-V0413,2025,KR,pickup,Touring,RWD,3567,2268,0.357,3.46,754,4828,KR-2025-8003,true,Korea,WLTC-KR,KATRI/WLTC,7956,4828,750
OAM-V0414,2026,UK,van,Fleet,RWD,3789,2917,0.351,3.77,1399,3499,UK-2026-4853,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,8046,3499,750
OAM-V0415,2027,AU,wagon,Touring,4WD,2942,2009,0.291,2.49,640,1375,AU-2027-7230,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4179,1375,750
OAM-V0416,2024,GCC,crossover,Performance,AWD,3007,2269,0.292,2.46,572,1502,GCC-2024-1281,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,4532,1502,750
OAM-V0417,2025,AU,liftback,Fleet,4WD,2724,1956,0.267,2.41,429,804,AU-2025-3393,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,3298,804,750
OAM-V0418,2026,UK,suv,Base,RWD,3059,1973,0.296,2.74,653,1823,UK-2026-4611,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4557,1823,750
OAM-V0419,2027,LATAM,van,Fleet,FWD,3976,3070,0.307,3.56,1476,2626,LATAM-2027-5248,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,7303,2626,750
OAM-V0420,2024,KR,van,Base,RWD,3386,2407,0.368,4.04,835,2810,KR-2024-1319,false,Korea,WLTC-KR,KATRI/WLTC,6216,2810,750
OAM-V0421,2025,KR,wagon,Premium,FWD,3076,1816,0.249,2.31,538,1968,KR-2025-5482,false,Korea,WLTC-KR,KATRI/WLTC,4480,1968,750
OAM-V0422,2026,KR,crossover,Touring,AWD,2806,2278,0.285,2.47,455,1900,KR-2026-8185,false,Korea,WLTC-KR,KATRI/WLTC,4860,1900,750
OAM-V0423,2027,UK,sedan,Touring,4WD,2938,1957,0.268,2.30,401,42,UK-2027-2658,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,2636,42,42
OAM-V0424,2024,LATAM,liftback,Performance,4WD,2703,1984,0.282,2.42,469,1033,LATAM-2024-9639,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,3601,1033,750
OAM-V0425,2025,NA,crossover,Performance,4WD,2886,2131,0.274,2.69,468,1800,NA-2025-5035,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,4504,1800,750
OAM-V0426,2026,GCC,wagon,Sport,AWD,3058,1932,0.260,2.41,503,2061,GCC-2026-2696,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,4599,2061,750
OAM-V0427,2027,LATAM,wagon,Performance,FWD,2842,1992,0.299,2.37,636,1350,LATAM-2027-3670,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4222,1350,750
OAM-V0428,2024,LATAM,pickup,Executive,RWD,3488,3223,0.364,3.33,727,4630,LATAM-2024-2110,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,8784,4630,750
OAM-V0429,2025,LATAM,crossover,Performance,FWD,2766,1843,0.301,2.69,459,1000,LATAM-2025-3790,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,3543,1000,750
OAM-V0430,2026,JP,van,Fleet,4WD,3638,3584,0.330,4.00,863,2512,JP-2026-4475,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,7073,2512,750
OAM-V0431,2027,KR,liftback,Executive,RWD,2792,1629,0.207,2.33,547,1019,KR-2027-4538,true,Korea,WLTC-KR,KATRI/WLTC,3434,1019,750
